timestamp,demand_kwh,temperature_f,hour,day_of_week,month,is_weekend,event_type,is_anomaly,anomaly_type,anomaly_magnitude,llm_explanation,detection_prompt
2023-01-01 00:00,10.17,36.3,0,6,1,1,holiday,0,,0.0,,
2023-01-01 01:00,16.82,37.2,1,6,1,1,holiday,0,,0.0,,
2023-01-01 02:00,9.79,31.9,2,6,1,1,holiday,0,,0.0,,
2023-01-01 03:00,13.79,42.8,3,6,1,1,holiday,0,,0.0,,
2023-01-01 04:00,12.9,30.5,4,6,1,1,holiday,0,,0.0,,
2023-01-01 05:00,8.86,30.6,5,6,1,1,holiday,0,,0.0,,
2023-01-01 06:00,22.38,34.8,6,6,1,1,holiday,0,,0.0,,
2023-01-01 07:00,32.07,23.0,7,6,1,1,holiday,0,,0.0,,
2023-01-01 08:00,39.87,27.3,8,6,1,1,holiday,0,,0.0,,
2023-01-01 09:00,37.25,27.9,9,6,1,1,holiday,0,,0.0,,
2023-01-01 10:00,37.71,42.1,10,6,1,1,holiday,0,,0.0,,
2023-01-01 11:00,32.91,33.8,11,6,1,1,holiday,0,,0.0,,
2023-01-01 12:00,39.05,30.1,12,6,1,1,holiday,0,,0.0,,
2023-01-01 13:00,40.11,26.4,13,6,1,1,holiday,0,,0.0,,
2023-01-01 14:00,37.44,29.7,14,6,1,1,holiday,0,,0.0,,
2023-01-01 15:00,46.02,29.7,15,6,1,1,holiday,0,,0.0,,
2023-01-01 16:00,34.38,33.3,16,6,1,1,holiday,0,,0.0,,
2023-01-01 17:00,40.16,38.3,17,6,1,1,holiday,0,,0.0,,
2023-01-01 18:00,39.35,34.6,18,6,1,1,holiday,0,,0.0,,
2023-01-01 19:00,50.12,25.4,19,6,1,1,holiday,0,,0.0,,
2023-01-01 20:00,52.17,37.8,20,6,1,1,holiday,0,,0.0,,
2023-01-01 21:00,33.12,32.7,21,6,1,1,holiday,0,,0.0,,
2023-01-01 22:00,25.01,24.5,22,6,1,1,holiday,0,,0.0,,
2023-01-01 23:00,25.68,30.6,23,6,1,1,holiday,0,,0.0,,
2023-01-02 00:00,14.95,35.4,0,0,1,0,none,0,,0.0,,
2023-01-02 01:00,20.46,35.3,1,0,1,0,none,0,,0.0,,
2023-01-02 02:00,24.45,29.3,2,0,1,0,none,0,,0.0,,
2023-01-02 03:00,25.73,39.5,3,0,1,0,none,0,,0.0,,
2023-01-02 04:00,20.76,28.3,4,0,1,0,none,0,,0.0,,
2023-01-02 05:00,25.9,35.3,5,0,1,0,none,0,,0.0,,
2023-01-02 06:00,60.86,30.5,6,0,1,0,none,0,,0.0,,
2023-01-02 07:00,65.62,26.7,7,0,1,0,none,0,,0.0,,
2023-01-02 08:00,84.62,38.2,8,0,1,0,none,0,,0.0,,
2023-01-02 09:00,92.01,32.9,9,0,1,0,none,0,,0.0,,
2023-01-02 10:00,76.62,35.5,10,0,1,0,none,0,,0.0,,
2023-01-02 11:00,85.35,35.5,11,0,1,0,none,0,,0.0,,
