timestamp,demand_kwh,temperature_f,hour,day_of_week,month,is_weekend,event_type,source,augmentation_scenario,generation_prompt
2023-01-01 00:00,10.17,36.3,0,6,1,1,holiday,real,,
2023-01-01 01:00,16.82,37.2,1,6,1,1,holiday,real,,
2023-01-01 02:00,9.79,31.9,2,6,1,1,holiday,real,,
2023-01-01 03:00,13.79,42.8,3,6,1,1,holiday,real,,
2023-01-01 04:00,12.9,30.5,4,6,1,1,holiday,real,,
2023-01-01 05:00,8.86,30.6,5,6,1,1,holiday,real,,
2023-01-01 06:00,22.38,34.8,6,6,1,1,holiday,real,,
2023-01-01 07:00,32.07,23.0,7,6,1,1,holiday,real,,
2023-01-01 08:00,39.87,27.3,8,6,1,1,holiday,real,,
2023-01-01 09:00,37.25,27.9,9,6,1,1,holiday,real,,
2023-01-01 10:00,37.71,42.1,10,6,1,1,holiday,real,,
2023-01-01 11:00,32.91,33.8,11,6,1,1,holiday,real,,
2023-01-01 12:00,39.05,30.1,12,6,1,1,holiday,real,,
2023-01-01 13:00,40.11,26.4,13,6,1,1,holiday,real,,
2023-01-01 14:00,37.44,29.7,14,6,1,1,holiday,real,,
2023-01-01 15:00,46.02,29.7,15,6,1,1,holiday,real,,
2023-01-01 16:00,34.38,33.3,16,6,1,1,holiday,real,,
2023-01-01 17:00,40.16,38.3,17,6,1,1,holiday,real,,
2023-01-01 18:00,39.35,34.6,18,6,1,1,holiday,real,,
2023-01-01 19:00,50.12,25.4,19,6,1,1,holiday,real,,
2023-01-01 20:00,52.17,37.8,20,6,1,1,holiday,real,,
2023-01-01 21:00,33.12,32.7,21,6,1,1,holiday,real,,
2023-01-01 22:00,25.01,24.5,22,6,1,1,holiday,real,,
2023-01-01 23:00,25.68,30.6,23,6,1,1,holiday,real,,
2023-01-02 00:00,14.95,35.4,0,0,1,0,none,real,,
2023-01-02 01:00,20.46,35.3,1,0,1,0,none,real,,
2023-01-02 02:00,24.45,29.3,2,0,1,0,none,real,,
2023-01-02 03:00,25.73,39.5,3,0,1,0,none,real,,
2023-01-02 04:00,20.76,28.3,4,0,1,0,none,real,,
2023-01-02 05:00,25.9,35.3,5,0,1,0,none,real,,
2023-01-02 06:00,60.86,30.5,6,0,1,0,none,real,,
2023-01-02 07:00,65.62,26.7,7,0,1,0,none,real,,
2023-01-02 08:00,84.62,38.2,8,0,1,0,none,real,,
2023-01-02 09:00,92.01,32.9,9,0,1,0,none,real,,
2023-01-02 10:00,76.62,35.5,10,0,1,0,none,real,,
2023-01-02 11:00,85.35,35.5,11,0,1,0,none,real,,
2023-01-02 12:00,85.46,33.1,12,0,1,0,none,real,,
2023-01-02 13:00,82.49,17.6,13,0,1,0,none,real,,
2023-01-02 14:00,78.0,33.9,14,0,1,0,none,real,,
2023-01-02 15:00,71.25,33.9,15,0,1,0,none,real,,
2023-01-02 16:00,80.63,32.0,16,0,1,0,none,real,,
2023-01-02 17:00,90.33,42.2,17,0,1,0,none,real,,
2023-01-02 18:00,94.79,28.5,18,0,1,0,none,real,,
2023-01-02 19:00,102.52,38.8,19,0,1,0,none,real,,
2023-01-02 20:00,107.65,30.2,20,0,1,0,none,real,,
2023-01-02 21:00,74.27,33.9,21,0,1,0,none,real,,
2023-01-02 22:00,55.89,29.1,22,0,1,0,none,real,,
2023-01-02 23:00,38.15,31.0,23,0,1,0,none,real,,
2023-01-03 00:00,23.04,35.1,0,1,1,0,none,real,,
2023-01-03 01:00,21.06,33.4,1,1,1,0,none,real,,
2023-01-03 02:00,20.32,24.9,2,1,1,0,none,real,,
2023-01-03 03:00,18.79,31.3,3,1,1,0,none,real,,
2023-01-03 04:00,23.62,32.4,4,1,1,0,none,real,,
2023-01-03 05:00,22.7,44.7,5,1,1,0,none,real,,
2023-01-03 06:00,61.3,34.9,6,1,1,0,none,real,,
2023-01-03 07:00,70.29,21.8,7,1,1,0,none,real,,
2023-01-03 08:00,89.05,33.7,8,1,1,0,none,real,,
2023-01-03 09:00,89.21,32.2,9,1,1,0,none,real,,
2023-01-03 10:00,74.53,33.1,10,1,1,0,none,real,,
2023-01-03 11:00,82.21,40.2,11,1,1,0,none,real,,
2023-01-03 12:00,75.56,38.1,12,1,1,0,none,real,,
2023-01-03 13:00,73.59,41.8,13,1,1,0,none,real,,
2023-01-03 14:00,87.96,36.9,14,1,1,0,none,real,,
2023-01-03 15:00,76.93,27.4,15,1,1,0,none,real,,
2023-01-03 16:00,77.19,33.9,16,1,1,0,none,real,,
2023-01-03 17:00,92.67,24.0,17,1,1,0,none,real,,
2023-01-03 18:00,98.69,27.0,18,1,1,0,none,real,,
2023-01-03 19:00,107.4,27.8,19,1,1,0,none,real,,
2023-01-03 20:00,104.31,28.6,20,1,1,0,none,real,,
2023-01-03 21:00,65.48,38.2,21,1,1,0,none,real,,
2023-01-03 22:00,62.43,34.7,22,1,1,0,none,real,,
2023-01-03 23:00,44.74,23.7,23,1,1,0,none,real,,
2023-01-04 00:00,25.13,34.9,0,2,1,0,none,real,,
2023-01-04 01:00,16.72,25.9,1,2,1,0,none,real,,
2023-01-04 02:00,23.19,36.5,2,2,1,0,none,real,,
2023-01-04 03:00,23.39,34.9,3,2,1,0,none,real,,
2023-01-04 04:00,22.93,29.3,4,2,1,0,none,real,,
2023-01-04 05:00,19.14,35.1,5,2,1,0,none,real,,
2023-01-04 06:00,63.5,44.5,6,2,1,0,none,real,,
2023-01-04 07:00,73.03,26.2,7,2,1,0,none,real,,
2023-01-04 08:00,82.35,27.5,8,2,1,0,none,real,,
2023-01-04 09:00,84.72,40.3,9,2,1,0,none,real,,
2023-01-04 10:00,80.85,39.1,10,2,1,0,none,real,,
2023-01-04 11:00,86.79,38.3,11,2,1,0,none,real,,
2023-01-04 12:00,76.19,31.9,12,2,1,0,none,real,,
2023-01-04 13:00,75.94,28.0,13,2,1,0,none,real,,
2023-01-04 14:00,80.56,32.9,14,2,1,0,none,real,,
2023-01-04 15:00,82.51,35.0,15,2,1,0,none,real,,
2023-01-04 16:00,85.01,33.4,16,2,1,0,none,real,,
2023-01-04 17:00,103.28,31.8,17,2,1,0,none,real,,
2023-01-04 18:00,93.37,37.1,18,2,1,0,none,real,,
2023-01-04 19:00,103.13,26.9,19,2,1,0,none,real,,
2023-01-04 20:00,108.46,32.0,20,2,1,0,none,real,,
2023-01-04 21:00,70.11,36.2,21,2,1,0,none,real,,
2023-01-04 22:00,51.14,28.3,22,2,1,0,none,real,,
2023-01-04 23:00,47.43,30.7,23,2,1,0,none,real,,
2023-01-05 00:00,17.02,34.6,0,3,1,0,none,real,,
2023-01-05 01:00,23.54,34.4,1,3,1,0,none,real,,
2023-01-05 02:00,22.61,28.0,2,3,1,0,none,real,,
2023-01-05 03:00,17.43,33.7,3,3,1,0,none,real,,
2023-01-05 04:00,24.24,35.5,4,3,1,0,none,real,,
2023-01-05 05:00,26.22,39.8,5,3,1,0,none,real,,
2023-01-05 06:00,57.85,25.1,6,3,1,0,none,real,,
