timestamp,anomaly_type,anomaly_magnitude,expected_kwh,demand_kwh,deviation_pct,llm_explanation,prediction,rouge_l,bertscore_f1
2023-02-10 14:00:00,equipment_failure,-0.7,85.11958448753462,23.7,-72.2,Charger malfunction reduced capacity by 70%.,The average hourly rate of demand for a given hour is . The average hourly rate of demand for a given hour is . The average hourly rate of demand for a given hour is . The average hourly rate of demand for a given hour is . The average hourly rate of demand for a given hour is . The average hourly rate of demand for a given hour is . The average hourly rate of demand for a given hour is . The average hourly rate of demand for a given hour is . The average hourly rate of demand for,0.0,0.77145064
2023-02-10 15:00:00,equipment_failure,-0.7,85.32592797783933,25.28,-70.4,Charger malfunction reduced capacity by 70%.,The average demand for a given hour is 85.3 kWh below the expected demand. The average demand for a given hour is 25.3 kWh below the expected demand. The average demand for a given hour is 85.3 kWh below the expected demand. The average demand for a given hour is 25.3 kWh below the expected demand. The average demand for a given hour is 85.3 kWh below the expected demand. The average demand for a given hour is 25.3 kWh below the expected demand. The average demand for a given hour is 25.3 kWh below the expected demand. The average,0.0,0.7934963
2023-02-10 16:00:00,equipment_failure,-0.7,85.04577777777777,22.97,-73.0,Charger malfunction reduced capacity by 70%.,The average demand for a given hour is 85.0 kWh. The average demand for a given hour is 23.0 kWh. The average demand for a given hour is 85.0 kWh. The average demand for a given hour is 23.0 kWh. The average demand for a given hour is 85.0 kWh. The average demand for a given hour is 23.0 kWh. The average demand for a given hour is 23.0 kWh. The average demand for a given hour is 23.0 kWh. The average demand for a given hour is 23.,0.0,0.7876111
2023-02-10 17:00:00,equipment_failure,-0.7,99.71691666666666,29.37,-70.5,Charger malfunction reduced capacity by 70%.,The average demand for a given hour is averaging 0.7 kWh. The average demand for a given hour is averaging 0.7 kWh. The average demand for a given hour is averaging 0.7 kWh. The average demand for a given hour is averaging 0.7 kWh. The average demand for a given hour is averaging 0.7 kWh. The average demand for a given hour is averaging 0.7 kWh. The average demand for a given hour is averaging 0.7 kWh. The average demand for a given hour is,0.0,0.7874738
2023-02-10 18:00:00,equipment_failure,-0.7,104.27619444444444,32.8,-68.5,Charger malfunction reduced capacity by 70%.,The average demand for a given hour is 104.3 kWh below expected demand. The average demand for a given hour is 32.8 kWh below expected demand. The average demand for a given hour is 104.3 kWh below expected demand. The average demand for a given hour is 32.8 kWh below expected demand. The average demand for a given hour is 104.3 kWh below expected demand. The average demand for a given hour is 32.8 kWh below expected demand. The average demand for a given hour is 104.3 kWh below expected demand. The average demand for a given hour is,0.0,0.7902668
2023-02-10 19:00:00,equipment_failure,-0.7,108.41391666666667,30.63,-71.7,Charger malfunction reduced capacity by 70%.,The average hourly rate of demand for a given hour is 108.4 kWh. The average hourly rate of demand for a given hour is 30.6 kWh. The average hourly rate of demand for a given hour is 77.8 kWh. The average hourly rate of demand for a given hour is 108.4 kWh. The average hourly rate of demand for a given hour is 30.6 kWh. The average hourly rate of demand for a given hour is 77.8 kWh. The average hourly rate of demand for a given hour,0.0,0.7903841
2023-03-17 18:00:00,unrecorded_event,0.85,104.27619444444444,206.24,97.8,Unrecorded St. Patrick's Day celebration caused demand spike.,The average demand for a given hour is 104.3 kWh. The average demand for a given hour is 206.2 kWh. The average demand for a given hour is 102.0 kWh. The average demand for a given hour is 102.0 kWh. The average demand for a given hour is 102.0 kWh. The average demand for a given hour is 102.0 kWh. The average demand for a given hour is 102.0 kWh. The average demand for a given hour is 102.0 kWh. The average demand for a given hour is 102.0 kWh. The average,0.01818181818181818,0.80374885
2023-03-17 19:00:00,unrecorded_event,0.85,108.41391666666667,216.14,99.4,Unrecorded St. Patrick's Day celebration caused demand spike.,The average hourly rate of demand for a given hour is 107.7 kWh above the average hourly rate of demand for a given hour. The average hourly rate of demand for a given hour is 107.7 kWh above the average hourly rate of demand for a given hour. The average hourly rate of demand for a given hour is 107.7 kWh above the average hourly rate of demand for a given hour. The average hourly rate of demand for a given hour is 107.7 kWh above the average hourly rate of demand for ,0.018867924528301883,0.79937387
2023-03-17 20:00:00,unrecorded_event,0.85,113.55445983379502,220.65,94.3,Unrecorded St. Patrick's Day celebration caused demand spike.,The average demand for a given hour is 113.6 kWh. The average demand for a given hour is 220.7 kWh. The average demand for a given hour is 113.6 kWh. The average demand for a given hour is 220.7 kWh. The average demand for a given hour is 113.6 kWh. The average demand for a given hour is 220.7 kWh. The average demand for a given hour is 113.6 kWh. The average demand for a given hour is 220.7 kWh. The average demand for a given hour is 220.7 kWh. The average,0.01818181818181818,0.8029668
2023-03-17 21:00:00,unrecorded_event,0.85,76.19382271468145,147.74,93.9,Unrecorded St. Patrick's Day celebration caused demand spike.,The average demand for a given hour is 76.2 kWh. The average demand for a given hour is 147.7 kWh. The average demand for a given hour is 71.5 kWh. The average demand for a given hour is 147.7 kWh. The average demand for a given hour is 147.7 kWh. The average demand for a given hour is 147.7 kWh. The average demand for a given hour is 147.7 kWh. The average demand for a given hour is 147.7 kWh. The average demand for,0.019801980198019802,0.8025792
2023-03-17 22:00:00,unrecorded_event,0.85,61.37304709141275,112.0,82.5,Unrecorded St. Patrick's Day celebration caused demand spike.,The average demand for a given hour is 61.4 kWh. The average demand for a given hour is 112.0 kWh. The average demand for a given hour is 61.4 kWh. The average demand for a given hour is 112.0 kWh. The average demand for a given hour is 61.4 kWh. The average demand for a given hour is 112.0 kWh. The average demand for a given hour is 112.0 kWh. The average demand for a given hour is 61.4 kWh. The average demand for a given hour is 112.0 kWh. The average,0.01818181818181818,0.8024302
2023-03-17 23:00:00,unrecorded_event,0.85,46.85181818181818,94.07,100.8,Unrecorded St. Patrick's Day celebration caused demand spike.,The average hourly rate of demand for a given hour is averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging ,0.034482758620689655,0.78025
2023-06-21 12:00:00,heat_wave,0.6,85.21620498614958,166.21,95.0,Extreme heat (103°F) triggered battery cooling loads.,The average demand for a given hour is 85.2 kWh. The average demand for a given hour is 166.2 kWh. The average demand for a given hour is 81.0 kWh. The average demand for a given hour is 81.0 kWh. The average demand for a given hour is 81.0 kWh. The average demand for a given hour is 81.0 kWh. The average demand for a given hour is 81.0 kWh. The average demand for a given hour is 81.0 kWh. The average demand for a given hour is 81.0 kWh. The average,0.0,0.7883355
2023-06-21 13:00:00,heat_wave,0.6,85.34602209944751,174.96,105.0,Extreme heat (103°F) triggered battery cooling loads.,The average demand for a given hour is 85.3 kWh. The average demand for a given hour is 175.0 kWh. The average demand for a given hour is 85.3 kWh. The average demand for a given hour is 89.6 kWh above expected (105.0%). The answer: 89.6 kWh above expected.,0.0,0.82103294
2023-06-21 14:00:00,heat_wave,0.6,85.11958448753462,163.6,92.2,Extreme heat (103°F) triggered battery cooling loads.,The average demand for a given hour is 85.1 kWh. The average demand for a given hour is 163.6 kWh. The average demand for a given hour is 85.1 kWh. The average demand for a given hour is 85.1 kWh. The average demand for a given hour is 163.6 kWh. The average demand for a given hour is 85.1 kWh. The average demand for a given hour is 85.1 kWh. The average demand for a given hour is 163.6 kWh. The average demand for a given hour is 85.1 kWh. The average,0.0,0.7900613
2023-06-21 15:00:00,heat_wave,0.6,85.32592797783933,163.74,91.9,Extreme heat (103°F) triggered battery cooling loads.,The average demand for a given hour is 85.3 kWh. The average demand for a given hour is 163.7 kWh. The average demand for a given hour is 78.4 kWh above expected. The average demand for a given hour is 78.4 kWh above expected. The average demand for a given hour is 78.4 kWh above expected. The average demand for a given hour is 78.4 kWh above expected. The average demand for a given hour is 78.4 kWh above expected. The average demand for a given hour is ,0.0,0.7919212
2023-06-21 16:00:00,heat_wave,0.6,85.04577777777777,169.86,99.7,Extreme heat (103°F) triggered battery cooling loads.,The average demand for a given hour is 85.0 kWh. The average demand for a given hour is 85.0 kWh. The average demand for a given hour is 84.8 kWh. The average demand for a given hour is 84.8 kWh. The average demand for a given hour is 84.8 kWh. The average demand for a given hour is 84.8 kWh. The average demand for a given hour is 84.8 kWh. The average demand for a given hour is 84.8 kWh. The average demand for a given hour is 84.8 kWh. The average,0.0,0.7879428
2023-06-21 17:00:00,heat_wave,0.6,99.71691666666666,206.8,107.4,Extreme heat (103°F) triggered battery cooling loads.,The average demand for a given hour is 79.0 kWh. The average demand for a given hour is 206.8 kWh. The average demand for a given hour is 79.7 kWh. The average demand for a given hour is 206.8 kWh. The average demand for a given hour is 207.8 kWh. The average demand for a given hour is 206.8 kWh. The average demand for a given hour is 207.8 kWh. The average demand for a given hour is 206.8 kWh.,0.0,0.797059
2023-08-15 08:00:00,data_error,-0.95,84.69349862258953,5.6,-93.4,Sensor malfunction recorded near-zero values erroneously.,The average demand for a given hour is 84.7 kWh below expected demand. The average demand for a given hour is 84.7 kWh below expected demand. The average demand for a given hour is 5.6 kWh below expected demand. The answer: 79.1 kWh below expected.,0.0,0.8238535
2023-08-15 09:00:00,data_error,-0.95,94.15355371900826,5.74,-93.9,Sensor malfunction recorded near-zero values erroneously.,The average hourly rate of demand for a given hour is 88.4 kWh below the expected average. The average hourly rate of demand for a given hour is 88.4 kWh below the expected average. The average hourly rate of demand for a given hour is 88.4 kWh below the expected average. The average hourly rate of demand for a given hour is 88.4 kWh below the expected average. The average hourly rate of demand for a given hour is 88.4 kWh below the expected average. The average hourly rate of demand for,0.0,0.79575694
2023-08-15 10:00:00,data_error,-0.95,85.16118784530386,5.43,-93.6,Sensor malfunction recorded near-zero values erroneously.,The average hourly rate of demand for a given hour is 79.7 kWh below the expected average. The average hourly rate of demand for a given hour is 79.7 kWh below the expected average. The average hourly rate of demand for a given hour is 79.7 kWh below the expected average. The answer: 79.7 kWh below expected.,0.0,0.8242654
2023-08-15 11:00:00,data_error,-0.95,85.30701657458563,5.37,-93.7,Sensor malfunction recorded near-zero values erroneously.,The average hourly rate of demand for a given hour is 79.9 kWh below the expected average. The average hourly rate of demand for a given hour is 79.9 kWh below the expected average. The answer: 79.9 kWh below expected.,0.0,0.83138555
